BOD,COD,FecalColiform,IP,Class
0.0456716489792206,0.0548158333625357,4.012973599682401e-05,1.24,2
0.0410910857390281,0.0569125753443064,6.808882330354795e-05,1.15,2
0.0766595383633531,0.1295213611641504,9.574537765474369e-05,1.82,2
0.0318296906559478,0.1188127641026766,8.891947784564046e-05,0.98,1
0.07706794950116,0.1069102808339168,7.741692276566503e-05,1.8,2
0.0531575561218952,0.1051310265970199,2.318473910229577e-05,1.38,2
0.025260874391582,0.0437467554240696,8.183516447035691e-05,0.8,1
0.0703328340908607,0.066705087975259,3.412319627560943e-05,1.68,2
0.0085722659820389,0.1024985240457742,9.13050762553778e-05,0.75,1
0.0751359447175229,0.1295676614602779,8.16807466076395e-05,1.81,2
0.0421891492173231,0.080234695936497,6.575679843801869e-05,1.2,2
0.0711447652151235,0.0585793860048943,3.203382805149332e-05,1.69,2
0.0332725803044869,0.0561618491142403,3.218509452925733e-05,0.99,1
0.0124860231084606,0.0929778933680104,0.0018424013173984,5.14,3
0.0014874332501448,0.0862338914490084,7.583807890400264e-05,0.68,1
0.0634534297157077,0.1227152176334173,6.084063791068669e-05,1.6,2
0.0204994409243384,0.094061551798873,0.0076033021918597,7.33,3
0.0190980236893473,0.0700089448203521,3.429967383300083e-05,0.71,1
0.0356741356178179,0.1058354525309585,7.588219829335052e-05,1.04,2
0.0034047645797288,0.1282414886926278,4.462991371030484e-05,1.0,2
0.0653952168020467,0.0292084624400552,7.346823741903228e-05,1.63,2
0.0177236101597221,0.1209095060844473,7.941174944117859e-05,0.97,1
0.0628273623427823,0.0370795127817192,5.24075317753403e-05,1.54,2
0.074262874201373,0.0989598585560348,9.46676040006748e-05,1.74,2
0.0279876912697532,0.0825265605948049,5.026774139196952e-05,0.86,1
0.0757106550012631,0.1119900847518985,7.69316094828386e-05,1.79,2
0.0478531024817577,0.0329091789662413,7.317200723341105e-05,1.29,2
0.0186529289164083,0.1268657084648412,6.688184286638884e-05,1.02,2
0.0693839507287707,0.0566281592395237,4.495765774546024e-05,1.66,2
0.0580878366836828,0.0806050983055163,6.739551861379595e-05,1.48,2
0.0254785306267005,0.0444313383739537,9.214334465298705e-05,0.79,1
0.0343046132395436,0.1251426760160988,3.884712232078293e-05,1.04,2
0.072805311098781,0.1081240100252573,0.0001005827535582,1.73,2
0.0095333772225065,0.0604115548659368,0.0001004976661644,0.77,1
0.0593839917916925,0.0853839502986692,1.2432213641233702e-05,1.5,2
0.0259236253996397,0.0877915656972957,3.370091069185136e-05,0.81,1
0.0169508082462674,0.0602858826335912,3.798994561345322e-05,0.66,1
0.0675204220640475,0.1113154232940415,9.04226884684208e-05,1.67,2
0.0109664845683434,0.0920379642849832,6.619168956159034e-05,0.76,1
0.0078532667334448,0.0795302700025579,3.261368288292219e-05,0.72,1
0.0759527669931366,0.0548819766427178,9.558780840707288e-05,1.77,2
0.0163614245084742,0.082080093453576,4.8042863614856384e-05,0.68,1
0.0032849313716297,0.1025977389660473,3.650879468534677e-05,0.76,1
